Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.28,-.05,-.37,-.13,-.02,-.81,-.50,-.26,-.15,-.11,-.04,.05,.63
1881,-.08,-.17,.00,-.34,.10,-.07,-.91,-.45,-.18,.10,.10,-.05,-.07,.55
1882,-.11,-.20,-.02,-.29,-.05,.01,-1.40,-.26,-.12,-.04,-.05,.01,.04,.58
1883,-.17,-.28,-.07,-.34,-.17,-.02,-.25,-.56,-.24,-.17,-.16,-.04,.07,.45
1884,-.28,-.43,-.15,-.61,-.15,-.14,-1.37,-.67,-.44,-.13,-.17,-.19,-.02,.60
1885,-.33,-.42,-.25,-.65,-.13,-.28,-1.56,-.68,-.43,-.05,-.21,-.34,-.15,.78
1886,-.31,-.42,-.21,-.56,-.20,-.22,-1.62,-.50,-.37,-.20,-.19,-.20,-.20,.54
1887,-.36,-.43,-.29,-.51,-.29,-.29,-1.78,-.51,-.26,-.28,-.30,-.28,-.26,.27
1888,-.17,-.22,-.12,-.41,.10,-.29,-1.33,-.42,-.22,.08,.12,-.31,-.23,.11
1889,-.10,-.17,-.05,-.29,.08,-.17,-.72,-.23,-.25,.03,.14,-.16,-.15,.40
1890,-.35,-.39,-.33,-.47,-.37,-.23,-1.17,-.59,-.25,-.26,-.47,-.18,-.27,.10
1891,-.22,-.25,-.20,-.42,-.08,-.22,-1.14,-.33,-.35,.01,-.16,-.18,-.24,-.20
1892,-.27,-.39,-.16,-.42,-.30,-.08,-1.14,-.64,-.15,-.33,-.26,.02,-.22,.04
1893,-.31,-.47,-.16,-.50,-.36,-.05,-.70,-.53,-.45,-.42,-.31,.07,-.20,-.09
1894,-.30,-.38,-.22,-.31,-.34,-.25,-.96,-.32,-.16,-.48,-.19,-.15,-.35,-.42
1895,-.23,-.29,-.16,-.39,-.07,-.27,-.71,-.51,-.25,-.14,-.01,-.20,-.32,-.63
1896,-.11,-.18,-.04,-.34,.10,-.16,-.90,-.37,-.20,.07,.13,-.15,-.13,.21
1897,-.11,-.15,-.06,-.35,.17,-.24,-.59,-.46,-.22,.15,.19,-.19,-.27,.36
1898,-.27,-.27,-.27,-.33,-.22,-.27,-1.16,-.21,-.21,-.17,-.28,-.28,-.21,.33
1899,-.18,-.20,-.15,-.23,-.12,-.19,-1.07,-.08,-.13,-.15,-.09,-.16,-.22,.54
1900,-.08,-.08,-.08,-.19,.17,-.30,-.59,-.13,-.14,.10,.24,-.29,-.29,.23
